datetime,npu,actual,rf_pred,xgb_pred,prophet_pred
2024-08-25,P,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-08-26,P,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-08-27,P,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-08-30,P,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-09-03,P,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-09-04,P,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-09-06,P,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-09-18,P,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-09-19,P,2,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-09-20,P,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-09-23,P,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-09-25,P,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-09-26,P,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-09-28,P,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-09-30,P,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-10-02,P,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-10-07,P,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-10-08,P,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-10-09,P,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-10-15,P,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-10-17,P,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-10-20,P,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-10-21,P,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-10-22,P,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-10-23,P,2,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-11-04,P,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-11-07,P,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-11-11,P,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-11-12,P,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-11-20,P,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-11-21,P,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-11-22,P,1,1.0,1.0,1.0
2024-11-28,P,1,1.0,1.0,1.0
2024-11-29,P,1,1.0,1.0,1.0
2024-12-04,P,1,1.0,1.0,1.0
2024-12-05,P,1,1.0,1.0,1.0
2024-12-09,P,1,1.0,1.0,1.0
2024-12-13,P,2,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-12-15,P,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-12-16,P,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-12-18,P,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-12-19,P,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-12-21,P,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-12-22,P,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-12-23,P,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-12-25,P,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-12-26,P,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-12-28,P,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-01-18,Q,1,1.0,1.0,1.0
2024-02-27,Q,1,1.0,1.0,1.0
2024-05-24,Q,1,1.0,1.0,1.0
2024-05-30,Q,1,1.0,1.0,1.0
2024-12-01,Q,1,1.0,1.0,1.0
2024-01-05,R,3,3.0,3.0,3.0
2024-01-06,R,2,2.5,2.5,2.5
2024-01-08,R,2,2.3333333333333335,2.3333333333333335,2.3333333333333335
