iter	Passed	Remaining
649	41199	22184
650	41251	22114
651	41329	22059
652	41385	21991
653	41432	21920
654	41486	21851
655	41535	21780
656	41602	21719
657	41645	21645
658	41696	21575
659	41755	21510
660	41813	21444
661	41861	21373
662	41913	21304
663	41960	21233
664	42008	21162
665	42057	21091
666	42103	21020
667	42150	20948
668	42197	20878
669	42247	20808
670	42302	20741
671	42402	20696
672	42514	20657
673	42611	20610
674	42702	20560
675	42797	20512
676	42898	20467
677	43001	20422
678	43108	20379
679	43199	20328
680	43300	20283
681	43412	20242
682	43527	20202
683	43638	20160
684	43753	20120
685	43845	20069
686	43948	20023
687	44065	19982
688	44161	19933
689	44271	19890
690	44370	19841
691	44483	19799
692	44611	19762
693	44743	19728
694	44853	19683
695	44965	19640
696	45062	19589
697	45166	19541
698	45292	19503
699	45408	19460
700	45503	19408
701	45614	19363
702	45717	19314
703	45812	19262
704	45908	19209
705	46028	19167
706	46124	19115
707	46232	19067
708	46338	19019
709	46436	18966
710	46533	18914
711	46639	18865
712	46751	18818
713	46862	18771
714	46952	18715
715	47066	18668
716	47163	18615
717	47270	18566
718	47367	18512
719	47466	18459
720	47558	18403
721	47667	18353
722	47782	18306
723	47887	18255
724	47981	18200
725	48082	18146
726	48191	18096
727	48318	18052
728	48387	17987
729	48434	17913
730	48480	17840
731	48536	17770
732	48583	17696
733	48636	17625
734	48688	17554
735	48740	17482
736	48793	17412
737	48875	17351
738	48924	17279
739	48975	17207
740	49049	17144
741	49145	17088
742	49219	17024
743	49295	16961
744	49343	16889
745	49391	16816
746	49437	16743
747	49481	16670
748	49532	16598
749	49576	16525
750	49646	16460
751	49696	16389
752	49743	16316
753	49792	16245
754	49841	16173
755	49881	16099
756	49927	16027
757	49975	15955
758	50018	15882
759	50064	15809
760	50112	15738
761	50159	15666
762	50202	15593
763	50247	15521
764	50294	15449
765	50343	15378
766	50391	15308
767	50438	15236
768	50488	15166
769	50539	15096
770	50589	15025
771	50625	14951
772	50672	14880
773	50718	14809
774	50762	14737
775	50807	14666
776	50867	14599
777	50954	14539
778	50999	14468
779	51046	14397
780	51092	14326
781	51139	14256
782	51183	14185
783	51226	14113
784	51276	14043
785	51319	13972
786	51361	13900
787	51410	13831
788	51452	13759
789	51496	13688
790	51550	13620
791	51595	13550
792	51644	13481
793	51692	13411
794	51738	13341
795	51784	13271
796	51828	13200
797	51872	13130
798	51919	13061
799	51969	12992
800	52017	12923
801	52062	12853
802	52107	12783
803	52154	12714
804	52196	12643
805	52244	12574
806	52293	12506
807	52369	12444
808	52421	12376
809	52471	12308
810	52524	12240
811	52575	12172
812	52639	12107
813	52688	12039
814	52729	11969
815	52774	11900
816	52851	11838
817	52895	11768
818	52979	11708
819	53032	11641
820	53081	11573
821	53128	11504
822	53171	11435
823	53216	11366
824	53266	11299
825	53315	11231
826	53410	11173
827	53461	11105
828	53516	11038
829	53563	10970
830	53607	10902
831	53649	10833
832	53689	10763
833	53739	10696
834	53787	10628
835	53834	10560
836	53878	10492
837	53924	10424
838	53969	10356
839	54020	10289
840	54066	10221
841	54114	10154
842	54157	10086
843	54207	10019
844	54257	9952
845	54304	9885
846	54347	9817
847	54392	9749
848	54437	9682
849	54484	9614
850	54532	9547
851	54585	9481
852	54635	9415
853	54688	9349
854	54737	9282
855	54786	9216
856	54834	9149
857	54881	9082
858	54927	9016
859	54975	8949
860	55058	8888
861	55100	8821
862	55154	8755
863	55194	8688
864	55244	8621
865	55292	8555
866	55337	8488
867	55391	8423
868	55438	8357
869	55487	8291
870	55539	8225
871	55588	8159
872	55634	8093
873	55682	8027
874	55730	7961
875	55778	7895
876	55822	7829
877	55889	7765
878	55937	7700
879	55982	7633
880	56031	7568
881	56076	7502
882	56118	7435
883	56165	7370
884	56212	7304
885	56261	7239
886	56303	7172
887	56347	7106
888	56396	7041
889	56442	6976
890	56491	6910
891	56537	6845
892	56586	6780
893	56629	6714
894	56671	6648
895	56715	6583
896	56757	6517
897	56800	6451
898	56845	6386
899	56895	6321
900	56939	6256
901	56983	6191
902	57025	6125
903	57084	6062
904	57153	5999
905	57206	5935
906	57251	5870
907	57295	5805
908	57343	5740
909	57388	5675
910	57430	5610
911	57478	5546
912	57525	5481
913	57579	5417
914	57627	5353
915	57671	5288
916	57724	5224
917	57773	5160
918	57846	5098
919	57906	5035
920	57950	4970
921	58000	4906
922	58050	4842
923	58104	4779
924	58152	4715
925	58196	4650
926	58245	4586
927	58328	4525
928	58428	4465
929	58520	4404
930	58624	4344
931	58726	4284
932	58828	4224
933	58920	4163
934	59013	4102
935	59095	4040
936	59240	3983
937	59386	3925
938	59504	3865
939	59624	3805
940	59725	3744
941	59837	3684
942	59932	3622
943	60044	3561
944	60161	3501
945	60272	3440
946	60378	3379
947	60483	3317
948	60584	3255
949	60684	3193
950	60774	3131
951	60887	3069
952	60978	3007
953	61090	2945
954	61190	2883
955	61308	2821
956	61434	2760
957	61522	2697
958	61624	2634
959	61734	2572
960	61837	2509
961	61942	2446
962	62043	2383
963	62138	2320
964	62233	2257
965	62348	2194
966	62450	2131
967	62548	2067
968	62656	2004
969	62770	1941
970	62865	1877
971	62947	1813
972	63035	1749
973	63127	1685
974	63227	1621
975	63336	1557
976	63455	1493
977	63569	1429
978	63669	1365
979	63817	1302
980	63917	1237
981	64051	1174
982	64156	1109
983	64254	1044
984	64348	979
985	64427	914
986	64473	849
987	64518	783
988	64567	718
989	64609	652
990	64662	587
991	64710	521
992	64756	456
993	64803	391
994	64846	325
995	64888	260
996	64935	195
997	64981	130
998	65027	65
999	65088	0
